20:47:56 warning   0 QPixmap::scaleWidth: Pixmap is a null pixmap
20:47:56 warning   0 QPixmap::scaleWidth: Pixmap is a null pixmap
20:47:56 warning   0 QPixmap::scaleWidth: Pixmap is a null pixmap
20:47:56 warning   0 QPixmap::scaleWidth: Pixmap is a null pixmap
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
20:47:57 warning   0 qUncompress: Input data is corrupted
